//-----------------------------------------------
//メッシュフィールドの配置処理
//Author: 加藤瑞葵
//-----------------------------------------------
SET_MESHFIELD
vertical = 50
2600.00 2.41 2600.00
2730.00 4.89 2600.00
2860.00 6.88 2600.00
2990.00 8.06 2600.00
3120.00 7.12 2600.00
3250.00 6.19 2600.00
-3250.00 32.36 2470.00
-3120.00 41.99 2470.00
-2990.00 51.74 2470.00
-2860.00 70.36 2470.00
-2730.00 75.00 2470.00
-2600.00 80.15 2470.00
-2470.00 95.10 2470.00
-2340.00 98.98 2470.00
-2210.00 102.48 2470.00
-2080.00 105.18 2470.00
-1950.00 103.48 2470.00
-1820.00 97.83 2470.00
-1690.00 94.61 2470.00
-1560.00 92.61 2470.00
-1430.00 85.88 2470.00
-1300.00 84.55 2470.00
-1170.00 74.95 2470.00
-1040.00 74.88 2470.00
-910.00 77.13 2470.00
-780.00 75.60 2470.00
-650.00 73.71 2470.00
-520.00 74.90 2470.00
-390.00 74.30 2470.00
-260.00 77.24 2470.00
-130.00 75.55 2470.00
0.00 74.58 2470.00
130.00 71.86 2470.00
260.00 48.08 2470.00
390.00 47.04 2470.00
520.00 47.25 2470.00
650.00 45.88 2470.00
780.00 43.52 2470.00
910.00 41.36 2470.00
1040.00 36.76 2470.00
1170.00 29.39 2470.00
1300.00 23.75 2470.00
1430.00 17.94 2470.00
1560.00 13.19 2470.00
1690.00 7.28 2470.00
1820.00 3.38 2470.00
1950.00 1.03 2470.00
2080.00 0.00 2470.00
2210.00 0.00 2470.00
2340.00 0.30 2470.00
2470.00 3.40 2470.00
2600.00 7.06 2470.00
2730.00 12.66 2470.00
2860.00 15.51 2470.00
2990.00 18.05 2470.00
3120.00 18.38 2470.00
3250.00 16.25 2470.00
-3250.00 34.56 2340.00
-3120.00 40.18 2340.00
-2990.00 58.11 2340.00
-2860.00 64.36 2340.00
-2730.00 81.28 2340.00
-2600.00 90.22 2340.00
-2470.00 99.30 2340.00
-2340.00 106.62 2340.00
-2210.00 113.73 2340.00
-2080.00 115.52 2340.00
-1950.00 114.03 2340.00
-1820.00 106.72 2340.00
-1690.00 104.17 2340.00
-1560.00 96.90 2340.00
-1430.00 86.37 2340.00
-1300.00 77.78 2340.00
-1170.00 74.76 2340.00
-1040.00 75.20 2340.00
-910.00 71.14 2340.00
-780.00 72.35 2340.00
-650.00 69.09 2340.00
-520.00 69.14 2340.00
-390.00 68.62 2340.00
-260.00 73.36 2340.00
-130.00 65.37 2340.00
0.00 66.51 2340.00
130.00 55.49 2340.00
260.00 57.98 2340.00
390.00 35.58 2340.00
520.00 33.36 2340.00
650.00 32.06 2340.00
780.00 31.35 2340.00
910.00 30.25 2340.00
1040.00 27.65 2340.00
1170.00 29.16 2340.00
1300.00 30.55 2340.00
1430.00 27.40 2340.00
1560.00 21.73 2340.00
1690.00 13.37 2340.00
1820.00 7.30 2340.00
1950.00 1.89 2340.00
2080.00 0.01 2340.00
2210.00 0.00 2340.00
2340.00 2.73 2340.00
2470.00 8.25 2340.00
2600.00 16.20 2340.00
2730.00 24.74 2340.00
2860.00 28.67 2340.00
2990.00 31.21 2340.00
3120.00 34.20 2340.00
3250.00 30.21 2340.00
-3250.00 26.41 2210.00
-3120.00 36.79 2210.00
-2990.00 53.40 2210.00
-2860.00 64.49 2210.00
-2730.00 84.41 2210.00
-2600.00 98.63 2210.00
-2470.00 111.67 2210.00
-2340.00 123.70 2210.00
-2210.00 131.88 2210.00
-2080.00 132.60 2210.00
-1950.00 132.25 2210.00
-1820.00 121.99 2210.00
-1690.00 110.29 2210.00
-1560.00 101.68 2210.00
-1430.00 92.89 2210.00
-1300.00 80.57 2210.00
-1170.00 75.18 2210.00
-1040.00 70.84 2210.00
-910.00 68.64 2210.00
-780.00 64.80 2210.00
-650.00 66.65 2210.00
-520.00 65.63 2210.00
-390.00 62.00 2210.00
-260.00 62.15 2210.00
-130.00 62.00 2210.00
0.00 53.15 2210.00
130.00 47.77 2210.00
260.00 42.27 2210.00
390.00 20.52 2210.00
520.00 23.19 2210.00
650.00 28.84 2210.00
780.00 31.96 2210.00
910.00 35.82 2210.00
1040.00 41.53 2210.00
1170.00 49.46 2210.00
1300.00 47.76 2210.00
1430.00 44.41 2210.00
1560.00 35.81 2210.00
1690.00 24.86 2210.00
1820.00 18.08 2210.00
1950.00 7.78 2210.00
2080.00 1.30 2210.00
2210.00 1.35 2210.00
2340.00 7.06 2210.00
2470.00 18.18 2210.00
2600.00 28.94 2210.00
2730.00 38.15 2210.00
2860.00 45.55 2210.00
2990.00 54.14 2210.00
3120.00 50.70 2210.00
3250.00 49.61 2210.00
-3250.00 24.93 2080.00
-3120.00 34.30 2080.00
-2990.00 48.32 2080.00
-2860.00 67.30 2080.00
-2730.00 88.70 2080.00
-2600.00 106.49 2080.00
-2470.00 121.93 2080.00
-2340.00 137.90 2080.00
-2210.00 148.49 2080.00
-2080.00 149.75 2080.00
-1950.00 122.01 2080.00
-1820.00 110.51 2080.00
-1690.00 107.85 2080.00
-1560.00 99.53 2080.00
-1430.00 90.81 2080.00
-1300.00 84.76 2080.00
-1170.00 67.71 2080.00
-1040.00 67.20 2080.00
-910.00 61.33 2080.00
-780.00 61.18 2080.00
-650.00 58.39 2080.00
-520.00 54.69 2080.00
-390.00 56.64 2080.00
-260.00 57.25 2080.00
-130.00 49.21 2080.00
0.00 45.02 2080.00
130.00 36.36 2080.00
260.00 34.57 2080.00
390.00 33.26 2080.00
520.00 33.78 2080.00
650.00 33.16 2080.00
780.00 44.81 2080.00
910.00 57.14 2080.00
1040.00 60.95 2080.00
1170.00 64.73 2080.00
1300.00 69.45 2080.00
1430.00 59.67 2080.00
1560.00 50.39 2080.00
1690.00 40.20 2080.00
1820.00 26.54 2080.00
1950.00 15.27 2080.00
2080.00 5.72 2080.00
2210.00 3.59 2080.00
2340.00 14.95 2080.00
2470.00 27.75 2080.00
2600.00 41.48 2080.00
2730.00 53.92 2080.00
2860.00 68.67 2080.00
2990.00 75.81 2080.00
3120.00 79.75 2080.00
3250.00 74.59 2080.00
-3250.00 22.67 1950.00
-3120.00 30.91 1950.00
-2990.00 43.21 1950.00
-2860.00 68.83 1950.00
-2730.00 85.08 1950.00
-2600.00 112.43 1950.00
-2470.00 128.45 1950.00
-2340.00 148.70 1950.00
-2210.00 123.53 1950.00
-2080.00 120.68 1950.00
-1950.00 112.62 1950.00
-1820.00 112.29 1950.00
-1690.00 97.65 1950.00
-1560.00 99.70 1950.00
-1430.00 83.34 1950.00
-1300.00 74.39 1950.00
-1170.00 68.62 1950.00
-1040.00 60.73 1950.00
-910.00 64.40 1950.00
-780.00 63.67 1950.00
-650.00 59.84 1950.00
-520.00 55.21 1950.00
-390.00 49.54 1950.00
-260.00 49.11 1950.00
-130.00 45.34 1950.00
0.00 42.62 1950.00
130.00 31.49 1950.00
260.00 30.15 1950.00
390.00 17.55 1950.00
520.00 28.56 1950.00
650.00 45.01 1950.00
780.00 60.90 1950.00
910.00 73.30 1950.00
1040.00 82.21 1950.00
1170.00 93.70 1950.00
1300.00 87.94 1950.00
1430.00 82.72 1950.00
1560.00 72.15 1950.00
1690.00 55.50 1950.00
1820.00 38.06 1950.00
1950.00 23.60 1950.00
2080.00 11.55 1950.00
2210.00 9.99 1950.00
2340.00 23.07 1950.00
2470.00 39.38 1950.00
2600.00 58.85 1950.00
2730.00 72.23 1950.00
2860.00 91.65 1950.00
2990.00 101.41 1950.00
3120.00 102.84 1950.00
3250.00 95.56 1950.00
-3250.00 16.42 1820.00
-3120.00 26.68 1820.00
-2990.00 43.31 1820.00
-2860.00 68.41 1820.00
-2730.00 87.78 1820.00
-2600.00 114.74 1820.00
-2470.00 132.57 1820.00
-2340.00 111.01 1820.00
-2210.00 107.14 1820.00
-2080.00 115.99 1820.00
-1950.00 119.35 1820.00
-1820.00 107.32 1820.00
-1690.00 102.32 1820.00
-1560.00 93.90 1820.00
-1430.00 87.49 1820.00
-1300.00 85.63 1820.00
-1170.00 75.93 1820.00
-1040.00 66.37 1820.00
-910.00 64.82 1820.00
-780.00 61.49 1820.00
-650.00 63.56 1820.00
-520.00 58.29 1820.00
-390.00 50.73 1820.00
-260.00 49.86 1820.00
-130.00 39.76 1820.00
0.00 36.98 1820.00
130.00 34.85 1820.00
260.00 23.85 1820.00
390.00 21.19 1820.00
520.00 37.38 1820.00
650.00 56.87 1820.00
780.00 72.67 1820.00
910.00 95.61 1820.00
1040.00 106.76 1820.00
1170.00 112.55 1820.00
1300.00 109.88 1820.00
1430.00 99.49 1820.00
1560.00 85.36 1820.00
1690.00 67.74 1820.00
1820.00 49.73 1820.00
1950.00 33.41 1820.00
2080.00 16.76 1820.00
2210.00 16.28 1820.00
2340.00 31.33 1820.00
2470.00 53.04 1820.00
2600.00 75.32 1820.00
2730.00 98.10 1820.00
2860.00 115.89 1820.00
2990.00 127.36 1820.00
3120.00 129.00 1820.00
3250.00 120.03 1820.00
-3250.00 14.57 1690.00
-3120.00 22.38 1690.00
-2990.00 41.90 1690.00
-2860.00 63.02 1690.00
-2730.00 86.42 1690.00
-2600.00 111.38 1690.00
-2470.00 85.46 1690.00
-2340.00 102.64 1690.00
-2210.00 106.67 1690.00
-2080.00 105.25 1690.00
-1950.00 108.48 1690.00
-1820.00 107.15 1690.00
-1690.00 101.16 1690.00
-1560.00 92.75 1690.00
-1430.00 86.58 1690.00
-1300.00 87.86 1690.00
-1170.00 78.71 1690.00
-1040.00 68.16 1690.00
-910.00 67.82 1690.00
-780.00 68.02 1690.00
-650.00 62.72 1690.00
-520.00 54.45 1690.00
-390.00 49.89 1690.00
-260.00 46.30 1690.00
-130.00 40.88 1690.00
0.00 31.19 1690.00
130.00 30.63 1690.00
260.00 19.84 1690.00
390.00 26.03 1690.00
520.00 43.55 1690.00
650.00 65.53 1690.00
780.00 92.20 1690.00
910.00 108.80 1690.00
1040.00 123.62 1690.00
1170.00 131.79 1690.00
1300.00 128.51 1690.00
1430.00 114.88 1690.00
1560.00 97.22 1690.00
1690.00 77.92 1690.00
1820.00 57.72 1690.00
1950.00 41.31 1690.00
2080.00 22.02 1690.00
2210.00 21.87 1690.00
2340.00 37.81 1690.00
2470.00 63.58 1690.00
2600.00 89.47 1690.00
2730.00 112.67 1690.00
2860.00 130.55 1690.00
2990.00 158.19 1690.00
3120.00 161.61 1690.00
3250.00 150.11 1690.00
-3250.00 11.83 1560.00
-3120.00 20.09 1560.00
-2990.00 39.65 1560.00
-2860.00 59.56 1560.00
-2730.00 82.20 1560.00
-2600.00 109.10 1560.00
-2470.00 85.98 1560.00
-2340.00 91.04 1560.00
-2210.00 102.52 1560.00
-2080.00 100.47 1560.00
-1950.00 103.34 1560.00
-1820.00 99.97 1560.00
-1690.00 93.80 1560.00
-1560.00 85.21 1560.00
-1430.00 84.49 1560.00
-1300.00 83.56 1560.00
-1170.00 77.59 1560.00
-1040.00 68.29 1560.00
-910.00 61.20 1560.00
-780.00 60.20 1560.00
-650.00 60.28 1560.00
-520.00 54.03 1560.00
-390.00 49.30 1560.00
-260.00 41.13 1560.00
-130.00 32.54 1560.00
0.00 28.29 1560.00
130.00 16.87 1560.00
260.00 15.86 1560.00
390.00 29.86 1560.00
520.00 52.86 1560.00
650.00 70.90 1560.00
780.00 90.38 1560.00
910.00 111.19 1560.00
1040.00 127.83 1560.00
1170.00 135.08 1560.00
1300.00 143.42 1560.00
1430.00 124.32 1560.00
1560.00 115.65 1560.00
1690.00 93.14 1560.00
1820.00 69.56 1560.00
1950.00 45.79 1560.00
2080.00 24.21 1560.00
2210.00 25.91 1560.00
2340.00 43.87 1560.00
2470.00 69.39 1560.00
2600.00 94.81 1560.00
2730.00 118.84 1560.00
2860.00 153.92 1560.00
2990.00 172.02 1560.00
3120.00 176.12 1560.00
3250.00 161.53 1560.00
-3250.00 9.72 1430.00
-3120.00 18.10 1430.00
-2990.00 34.32 1430.00
-2860.00 53.01 1430.00
-2730.00 74.21 1430.00
-2600.00 59.12 1430.00
-2470.00 74.47 1430.00
-2340.00 77.84 1430.00
-2210.00 86.21 1430.00
-2080.00 82.87 1430.00
-1950.00 84.10 1430.00
-1820.00 90.35 1430.00
-1690.00 83.06 1430.00
-1560.00 80.00 1430.00
-1430.00 80.99 1430.00
-1300.00 75.56 1430.00
-1170.00 68.98 1430.00
-1040.00 64.02 1430.00
-910.00 59.01 1430.00
-780.00 52.11 1430.00
-650.00 49.11 1430.00
-520.00 43.67 1430.00
-390.00 39.43 1430.00
-260.00 33.69 1430.00
-130.00 27.70 1430.00
0.00 19.97 1430.00
130.00 14.43 1430.00
260.00 13.02 1430.00
390.00 30.44 1430.00
520.00 48.84 1430.00
650.00 70.95 1430.00
780.00 101.27 1430.00
910.00 121.58 1430.00
1040.00 129.36 1430.00
1170.00 147.74 1430.00
1300.00 141.57 1430.00
1430.00 127.64 1430.00
1560.00 112.98 1430.00
1690.00 94.02 1430.00
1820.00 69.78 1430.00
1950.00 46.53 1430.00
2080.00 24.68 1430.00
2210.00 28.25 1430.00
2340.00 46.75 1430.00
2470.00 71.81 1430.00
2600.00 106.28 1430.00
2730.00 132.00 1430.00
2860.00 154.96 1430.00
2990.00 173.41 1430.00
3120.00 177.73 1430.00
3250.00 177.91 1430.00
-3250.00 7.89 1300.00
-3120.00 15.30 1300.00
-2990.00 29.77 1300.00
-2860.00 44.69 1300.00
-2730.00 62.06 1300.00
-2600.00 48.43 1300.00
-2470.00 61.10 1300.00
-2340.00 62.83 1300.00
-2210.00 70.31 1300.00
-2080.00 72.95 1300.00
-1950.00 72.83 1300.00
-1820.00 76.32 1300.00
-1690.00 72.08 1300.00
-1560.00 66.37 1300.00
-1430.00 68.47 1300.00
-1300.00 63.90 1300.00
-1170.00 59.89 1300.00
-1040.00 57.42 1300.00
-910.00 54.95 1300.00
-780.00 45.95 1300.00
-650.00 43.36 1300.00
-520.00 37.63 1300.00
-390.00 32.16 1300.00
-260.00 24.72 1300.00
-130.00 18.19 1300.00
0.00 15.25 1300.00
130.00 9.35 1300.00
260.00 11.75 1300.00
390.00 27.71 1300.00
520.00 48.14 1300.00
650.00 67.40 1300.00
780.00 87.69 1300.00
910.00 115.80 1300.00
1040.00 131.50 1300.00
1170.00 141.59 1300.00
1300.00 134.18 1300.00
1430.00 123.14 1300.00
1560.00 109.16 1300.00
1690.00 83.57 1300.00
1820.00 66.99 1300.00
1950.00 43.83 1300.00
2080.00 22.72 1300.00
2210.00 24.43 1300.00
2340.00 44.77 1300.00
2470.00 75.50 1300.00
2600.00 100.88 1300.00
2730.00 126.14 1300.00
2860.00 149.40 1300.00
2990.00 184.04 1300.00
3120.00 189.48 1300.00
3250.00 174.12 1300.00
-3250.00 6.73 1170.00
-3120.00 13.55 1170.00
-2990.00 23.95 1170.00
-2860.00 39.46 1170.00
-2730.00 54.42 1170.00
-2600.00 34.68 1170.00
-2470.00 46.81 1170.00
-2340.00 53.75 1170.00
-2210.00 53.99 1170.00
-2080.00 54.74 1170.00
-1950.00 54.35 1170.00
-1820.00 55.40 1170.00
-1690.00 56.00 1170.00
-1560.00 52.92 1170.00
-1430.00 55.69 1170.00
-1300.00 52.73 1170.00
-1170.00 51.81 1170.00
-1040.00 51.60 1170.00
-910.00 45.15 1170.00
-780.00 44.55 1170.00
-650.00 35.86 1170.00
-520.00 29.84 1170.00
-390.00 22.98 1170.00
-260.00 18.21 1170.00
-130.00 11.98 1170.00
0.00 8.99 1170.00
130.00 5.72 1170.00
260.00 9.57 1170.00
390.00 22.03 1170.00
520.00 43.79 1170.00
650.00 62.28 1170.00
780.00 87.61 1170.00
910.00 96.05 1170.00
1040.00 115.38 1170.00
1170.00 122.98 1170.00
1300.00 119.93 1170.00
1430.00 107.97 1170.00
1560.00 96.68 1170.00
1690.00 77.04 1170.00
1820.00 60.09 1170.00
1950.00 37.37 1170.00
2080.00 18.75 1170.00
2210.00 20.00 1170.00
2340.00 40.03 1170.00
2470.00 67.96 1170.00
2600.00 99.94 1170.00
2730.00 125.55 1170.00
2860.00 149.47 1170.00
2990.00 169.94 1170.00
3120.00 176.14 1170.00
3250.00 173.89 1170.00
-3250.00 4.07 1040.00
-3120.00 8.37 1040.00
-2990.00 17.20 1040.00
-2860.00 27.67 1040.00
-2730.00 41.49 1040.00
-2600.00 29.71 1040.00
-2470.00 36.16 1040.00
-2340.00 42.22 1040.00
-2210.00 48.49 1040.00
-2080.00 48.35 1040.00
-1950.00 43.92 1040.00
-1820.00 41.96 1040.00
-1690.00 41.78 1040.00
-1560.00 43.92 1040.00
-1430.00 46.22 1040.00
-1300.00 42.27 1040.00
-1170.00 43.43 1040.00
-1040.00 40.34 1040.00
-910.00 41.89 1040.00
-780.00 35.03 1040.00
-650.00 26.88 1040.00
-520.00 20.60 1040.00
-390.00 14.35 1040.00
-260.00 10.86 1040.00
-130.00 6.99 1040.00
0.00 4.63 1040.00
130.00 3.00 1040.00
260.00 7.39 1040.00
390.00 17.82 1040.00
520.00 31.85 1040.00
650.00 53.43 1040.00
780.00 66.19 1040.00
910.00 85.14 1040.00
1040.00 97.29 1040.00
1170.00 103.00 1040.00
1300.00 102.75 1040.00
1430.00 91.53 1040.00
1560.00 77.92 1040.00
1690.00 65.08 1040.00
1820.00 47.08 1040.00
1950.00 29.52 1040.00
2080.00 14.50 1040.00
2210.00 13.31 1040.00
2340.00 33.92 1040.00
2470.00 58.05 1040.00
2600.00 86.86 1040.00
2730.00 118.71 1040.00
2860.00 140.74 1040.00
2990.00 159.58 1040.00
3120.00 165.41 1040.00
3250.00 166.92 1040.00
-3250.00 2.43 910.00
-3120.00 5.80 910.00
-2990.00 11.73 910.00
-2860.00 21.33 910.00
-2730.00 27.42 910.00
-2600.00 22.29 910.00
-2470.00 28.25 910.00
-2340.00 32.33 910.00
-2210.00 36.26 910.00
-2080.00 36.14 910.00
-1950.00 34.06 910.00
-1820.00 31.23 910.00
-1690.00 31.79 910.00
-1560.00 33.38 910.00
-1430.00 35.66 910.00
-1300.00 32.60 910.00
-1170.00 35.89 910.00
-1040.00 31.48 910.00
-910.00 31.61 910.00
-780.00 25.02 910.00
-650.00 20.68 910.00
-520.00 13.86 910.00
-390.00 8.60 910.00
-260.00 4.79 910.00
-130.00 9.27 910.00
0.00 14.73 910.00
130.00 18.73 910.00
260.00 20.08 910.00
390.00 18.48 910.00
520.00 22.20 910.00
650.00 39.24 910.00
780.00 55.16 910.00
910.00 70.07 910.00
1040.00 73.16 910.00
1170.00 82.50 910.00
1300.00 80.89 910.00
1430.00 74.94 910.00
1560.00 63.60 910.00
1690.00 49.74 910.00
1820.00 32.87 910.00
1950.00 20.97 910.00
2080.00 9.65 910.00
2210.00 8.41 910.00
2340.00 23.73 910.00
2470.00 46.42 910.00
2600.00 77.88 910.00
2730.00 105.04 910.00
2860.00 125.18 910.00
2990.00 140.29 910.00
3120.00 145.15 910.00
3250.00 148.36 910.00
-3250.00 0.88 780.00
-3120.00 2.89 780.00
-2990.00 5.47 780.00
-2860.00 11.97 780.00
-2730.00 19.29 780.00
-2600.00 15.55 780.00
-2470.00 19.39 780.00
-2340.00 22.64 780.00
-2210.00 28.72 780.00
